stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
1048,,Brewer St and Glenn Rd,,41.743923,-72.626019,,,,,
10483,,Middletown Ave and Flint St,,41.328022,-72.877968,,,,,
10488,,Saltonstall Pkwy and Main St,,41.277269,-72.861823,,,,,
10489,,E Main St and Opp Chestnut St,,41.284785,-72.80939,,,,,
1049,,Brewer St and Opp Mill Rd,,41.743534,-72.62877,,,,,
10490,,E Main St and N Main St,,41.289473,-72.80004,,,,,
10491,,E Main St and Opp Mill Plain Rd,,41.29133,-72.795033,,,,,
10492,,E Main St and Windmill Hill Rd,,41.292373,-72.788173,,,,,
10493,,E Main St and Frist Niagra Bank,,41.295141,-72.781987,,,,,
10494,,E Main St and Featherbed Ln,,41.29706,-72.778098,,,,,
10495,,E Main St and Business Park Dr,,41.298263,-72.772754,,,,,
10496,,E Main St and Leetes Island Rd,,41.299207,-72.765159,,,,,
10497,,E Main St and Opp Notch Hill Rd,,41.311032,-72.745361,,,,,
10498,,Boston Post Rd and Bruce Ln,,41.311036,-72.738079,,,,,
10499,,Boston Post Rd and Opp West Lake Ave,,41.308507,-72.724361,,,,,
105,,Webster Hill Blvd and Boswell Rd,,41.738921,-72.739166,,,,,
1050,,Brewer St and Opp Hamilton Rd,,41.74326,-72.630793,,,,,
10500,,Boston Post Rd and Opp Flag Marsh Rd,,41.305066,-72.712426,,,,,
10501,,Boston Post Rd and Opp Sound Medical Ctr,,41.295364,-72.702105,,,,,
10502,,Boston Post Rd and Opp Long Hill Rd,,41.288405,-72.692997,,,,,
10505,,E Main St and Willow Rd,,41.288009,-72.803999,,,,,
10506,,E Main St and Opp Baldwin Dr,,41.30532,-72.754527,,,,,
10507,,State St and Boston Post Rd,,41.287928,-72.681951,,,,,
10508,,Boston Post Rd and Goose Ln,,41.288559,-72.664334,,,,,
10509,,Boston Post Rd and Opp E River Rd,,41.285517,-72.647797,,,,,
